,,,,,,,,,,,
Time stamp,Inside_humidity (in %rH),Inside_temperature (in �C),Inside_pressure (in mbar),Soil_moisture (in %VWC),Soil_temperature (in �C),Inside_CO2_ratio (in ppm),Outside_humidity (in %rH),Outside_temperature (in �C),Outside_pressure (in mbar),Outside_PAR (in �mol m^-2 s^-1),Power_box_charge (in V)
9/13/2019 18:36:27.709265849,64.291916,32.728533,998.187335,5.758651,27.627252,573.181679,64.066349,32.470156,998.398025,0.783278,12.01407
9/13/2019 18:36:28.709265849,64.167068,32.698399,999.991613,5.813395,27.644314,572.997034,64.298487,32.522246,998.519617,4.084215,11.983226
9/13/2019 18:36:29.709265849,64.101359,32.694699,997.840626,6.00831,27.515041,571.642763,64.160445,32.536978,998.971276,7.478429,12.026607
9/13/2019 18:36:30.709265849,64.469332,32.798565,998.851658,6.301516,27.601781,574.961751,64.148065,32.536766,998.481292,2.8633,12.035675
9/13/2019 18:36:31.709265849,64.390481,32.692678,998.806555,6.015842,27.533736,573.766497,64.26056,32.504085,998.564244,4.627608,12.043941
9/13/2019 18:36:32.709265849,64.561325,32.825075,997.862546,5.901433,27.681092,572.462158,63.975564,32.625485,999.829338,10.432742,11.968691
9/13/2019 18:36:33.709265849,64.574467,32.697576,998.463472,5.93515,27.539696,574.020136,64.187937,32.510933,998.564401,3.027574,12.052418
9/13/2019 18:36:34.709265849,64.581038,32.761437,997.812791,6.305933,27.482223,576.15832,64.366694,32.608054,998.725891,7.696934,12.001585
9/13/2019 18:36:35.709265849,64.738741,32.745098,999.631577,5.814307,27.461242,573.846658,64.149011,32.536565,998.83928,8.740741,12.048305
9/13/2019 18:36:36.709265849,64.771596,32.781402,998.802849,6.113308,27.572881,576.699111,64.288552,32.486962,998.577491,3.187916,12.027869
9/13/2019 18:36:37.709265849,64.699315,32.745023,999.29575,5.853058,27.522429,575.612931,63.997932,32.496719,998.651612,6.033496,12.023072
9/13/2019 18:36:38.709265849,64.653318,32.794491,999.435395,6.150207,27.544757,578.069811,64.308213,32.632226,999.195055,12.958947,12.004542
9/13/2019 18:36:39.709265849,64.995008,32.755492,999.015354,5.715031,27.509408,577.082853,64.008262,32.467563,998.557463,2.359993,12.03557
9/13/2019 18:36:40.709265849,64.955582,32.698324,999.947929,6.03252,27.543696,579.58113,64.213013,32.552334,998.81373,5.525218,12.026962
9/13/2019 18:36:41.709265849,64.909585,32.718139,998.585456,5.768649,27.534307,578.407558,63.946968,32.47223,998.483185,1.260645,12.046202
9/13/2019 18:36:42.709265849,65.15271,32.856332,998.597047,5.690004,27.632966,581.523502,63.967994,32.449921,999.04524,12.165867,11.980847
9/13/2019 18:36:43.709265849,65.060717,32.681685,998.721632,5.968675,27.562962,580.28422,63.938241,32.477733,998.270445,1.131214,12.026857
9/13/2019 18:36:44.709265849,65.073859,32.761737,999.786126,6.250118,27.53092,580.412355,64.198976,32.594148,998.928064,10.763911,12.040735
9/13/2019 18:36:45.709265849,65.041004,32.740649,999.170769,5.910821,27.459487,579.566015,64.078334,32.585227,998.632214,9.734249,12.032955
9/13/2019 18:36:46.709265849,65.251275,32.676638,998.785738,6.125418,27.581371,583.966583,64.114001,32.578898,998.730463,2.798584,12.036398
9/13/2019 18:36:47.709265849,65.034433,32.723935,1000.027805,5.796321,27.444792,580.531944,64.184416,32.536978,999.098384,8.520926,12.02231
9/13/2019 18:36:48.709265849,65.316984,32.704345,1000.572432,5.641406,27.551615,582.9126,64.188437,32.586888,998.669274,8.484772,11.997984
9/13/2019 18:36:49.709265849,65.224991,32.670542,1000.064313,5.924936,27.511082,582.85609,64.092632,32.507821,998.496274,2.938229,12.040275
9/13/2019 18:36:50.709265849,65.612677,32.829897,999.465201,5.933846,27.534675,584.09274,64.256906,32.512076,998.857414,4.14631,12.018091
9/13/2019 18:36:51.709265849,65.435261,32.724908,999.578825,5.955361,27.464303,583.03022,64.198714,32.591037,998.875077,8.298489,12.043113
9/13/2019 18:36:52.709265849,65.402407,32.718364,999.173372,6.171172,27.6117,585.226231,64.08727,32.508858,998.527026,1.644734,12.035767
9/13/2019 18:36:53.709265849,65.592964,32.698025,997.833213,5.9559,27.527817,583.50267,64.10015,32.47877,997.974752,-0.182979,12.014911
9/13/2019 18:36:54.709265849,65.415548,32.698623,999.429087,6.175266,27.524389,586.009493,64.179658,32.617907,998.903621,10.06935,12.035347
9/13/2019 18:36:55.709265849,65.606106,32.739975,999.40827,5.798176,27.453568,582.934282,64.309212,32.496825,998.708228,5.971401,12.047542
9/13/2019 18:36:56.709265849,65.507542,32.783423,999.094126,5.884207,27.46463,582.399407,64.217428,32.601726,999.226914,10.981105,12.025661
9/13/2019 18:36:57.709265849,65.665244,32.740275,999.304581,5.876703,27.422954,582.37181,64.299486,32.5597,998.874605,10.534921,12.029696
9/13/2019 18:36:58.709265849,65.737525,32.74005,998.619204,6.209174,27.57235,583.802304,64.287948,32.523696,998.796068,5.091868,12.000258
9/13/2019 18:36:59.709265849,65.763809,32.666468,999.542396,5.986206,27.45467,582.626764,64.239796,32.539158,998.732828,8.359273,12.051866
9/13/2019 18:37:00.709265849,65.527255,32.846462,1001.225006,6.352129,27.319846,582.468401,64.386065,32.555339,998.556042,14.802115,11.987825
9/13/2019 18:37:01.709265849,65.783521,32.761437,1000.388235,5.798135,27.411606,582.348812,64.233934,32.566134,998.682049,10.124891,12.032771
9/13/2019 18:37:02.709265849,65.625819,32.750819,1000.45865,6.173064,27.53345,584.390406,64.220135,32.595185,998.960709,8.09413,12.031877
9/13/2019 18:37:03.709265849,65.836089,32.714065,999.763653,5.918043,27.422097,583.635405,64.242765,32.548186,998.997612,10.123581,12.050447
9/13/2019 18:37:04.709265849,66.11864,32.724684,998.801745,5.925625,27.557288,585.897125,64.475036,32.570495,998.894475,6.91696,11.999942
9/13/2019 18:37:05.709265849,65.70467,32.766784,999.230617,5.74624,27.411892,584.550738,64.158342,32.51052,998.801113,8.112206,12.034887
9/13/2019 18:37:06.709265849,65.954366,32.740425,997.898581,5.650972,27.459487,586.578533,64.233435,32.484581,998.572918,4.765941,12.037568
9/13/2019 18:37:07.709265849,65.875515,32.691705,998.866798,5.765531,27.516184,586.812458,64.231017,32.469743,998.561879,1.766302,12.046438
9/13/2019 18:37:08.709265849,66.000363,32.762186,997.980981,5.708342,27.407076,586.958992,64.200527,32.493915,999.345348,7.271449,12.001283
9/13/2019 18:37:09.709265849,65.822947,32.793144,1000.627707,5.736086,27.420668,586.667241,64.218979,32.494539,998.993197,8.729217,12.037646
9/13/2019 18:37:10.709265849,66.11864,32.771457,999.438313,5.738635,27.424383,588.811341,64.131559,32.493195,998.56393,4.349359,12.041826
9/13/2019 18:37:11.709265849,65.796663,32.820027,1000.458018,5.553724,27.270496,588.88888,64.420865,32.427199,998.51583,14.862899,12.0024
9/13/2019 18:37:12.709265849,66.144924,32.766709,998.109745,5.750877,27.422668,589.003869,64.02532,32.498381,998.70397,4.966369,12.039447
9/13/2019 18:37:13.709265849,66.006934,32.681984,999.073309,6.027354,27.434832,588.934876,64.174638,32.562917,998.7568,8.032035,12.054021
9/13/2019 18:37:14.709265849,66.289484,32.718289,998.727704,5.751392,27.476508,590.79314,64.015989,32.458123,998.539801,1.088507,12.040708
