,,,,,,,,,,,
Time stamp,Inside_humidity (in %rH),Inside_temperature (in �C),Inside_pressure (in mbar),Soil_moisture (in %VWC),Soil_temperature (in �C),Inside_CO2_ratio (in ppm),Outside_humidity (in %rH),Outside_temperature (in �C),Outside_pressure (in mbar),Outside_PAR (in �mol m^-2 s^-1),Power_box_charge (in V)
7/20/2019 10:48:31.843940249,82.861408,28.007557,1005.462872,20.053359,25.751103,673.807217,79.695213,28.951151,1005.0586,13.855246,11.845381
7/20/2019 10:48:32.843940249,82.867979,27.939546,1004.730895,19.101905,25.59293,671.130211,79.551651,28.917645,1004.907206,8.814631,11.877565
7/20/2019 10:48:33.843940249,82.585429,28.092956,1006.522793,20.346649,25.720448,673.435958,79.538377,28.899791,1004.982428,11.647375,11.868813
7/20/2019 10:48:34.843940249,82.769415,27.896997,1003.018243,18.092096,25.683262,673.985294,79.767231,28.885271,1004.187134,5.836999,11.863648
7/20/2019 10:48:35.843940249,83.025682,28.203741,1005.847746,19.890989,25.659546,673.27891,79.469645,28.8613,1005.021068,16.450098,11.865028
7/20/2019 10:48:36.843940249,82.861408,28.035639,1004.341448,19.356822,25.596032,672.008748,79.290074,28.823846,1005.132879,18.562342,11.86332
7/20/2019 10:48:37.843940249,82.762844,28.09363,1006.192957,19.731565,25.587011,672.20916,79.210881,28.920344,1005.11711,18.418766,11.821029
7/20/2019 10:48:38.843940249,82.815412,28.013353,1005.530133,19.247561,25.552928,672.231505,79.291283,28.786805,1004.810693,15.025863,11.881193
7/20/2019 10:48:39.843940249,83.124246,28.095127,1004.773238,19.676509,25.651872,674.503739,79.63066,28.998374,1005.703922,23.344367,11.861375
7/20/2019 10:48:40.843940249,82.743131,28.008755,1006.253594,19.510143,25.657505,673.139607,79.484995,28.865766,1004.981799,12.019941,11.875528
7/20/2019 10:48:41.843940249,82.861408,27.993837,1005.168284,19.671472,25.695467,675.915183,79.587213,28.890975,1005.150384,14.683169,11.864765
7/20/2019 10:48:42.843940249,82.854837,27.963329,1004.552847,18.873554,25.611625,673.305855,79.351606,28.842738,1005.144075,8.32443,11.848404
7/20/2019 10:48:43.843940249,83.091391,28.03474,1005.433382,20.039712,25.693467,675.136521,79.299957,28.870846,1005.023747,9.924463,11.859062
7/20/2019 10:48:44.843940249,82.782557,28.008006,1005.498434,18.965621,25.53309,674.108167,79.056937,28.781514,1004.725375,8.07081,11.880062
7/20/2019 10:48:45.843940249,83.025682,28.192449,1004.594009,20.164551,25.659546,675.963799,79.241423,28.758061,1005.058129,19.421177,11.862386
7/20/2019 10:48:46.843940249,83.025682,28.039863,1005.166233,19.359922,25.574766,675.97563,79.130216,28.735551,1004.838922,14.498197,11.880049
7/20/2019 10:48:47.843940249,83.025682,28.098902,1006.398839,19.541562,25.643668,676.099818,79.427959,28.937986,1005.414696,7.378871,11.842463
7/20/2019 10:48:48.843940249,82.887692,28.039638,1004.795238,19.244229,25.557745,676.57293,79.077701,28.725381,1004.838608,11.211405,11.878512
7/20/2019 10:48:49.843940249,83.157101,28.068093,1005.296496,19.72841,25.672812,679.537087,79.344245,28.896172,1005.563882,18.458852,11.868077
7/20/2019 10:48:50.843940249,82.966543,27.932104,1003.492218,19.0248,25.519742,676.43888,79.293386,28.767301,1005.021068,2.961548,11.854488
7/20/2019 10:48:51.843940249,82.887692,28.061923,1005.696667,20.345071,25.704814,679.416835,79.449538,28.790848,1005.224977,14.049392,11.868747
7/20/2019 10:48:52.843940249,82.986256,28.02887,1005.40539,19.487469,25.57248,678.281376,79.222814,28.692594,1005.090616,12.887679,11.884491
7/20/2019 10:48:53.843940249,83.242523,28.177831,1005.848298,20.474483,25.738612,679.299868,79.360357,28.794065,1005.47462,11.48048,11.864673
7/20/2019 10:48:54.843940249,82.881121,27.970654,1004.400981,19.261721,25.526559,678.287291,79.173611,28.790636,1005.106857,3.12189,11.864792
7/20/2019 10:48:55.843940249,83.209668,28.073066,1006.62112,19.690878,25.573664,679.965509,79.223918,28.798013,1005.403971,21.220328,11.851768
7/20/2019 10:48:56.843940249,83.065108,28.008905,1005.152197,19.569707,25.644198,679.673758,79.233196,28.774772,1005.185079,11.234724,11.880825
7/20/2019 10:48:57.843940249,83.065108,28.021994,1004.79571,19.902994,25.686446,683.452058,79.410007,28.857257,1005.708967,19.466505,11.850611
7/20/2019 10:48:58.843940249,82.920547,27.939172,1005.033605,19.164297,25.547009,678.799821,79.278641,28.764083,1004.906892,5.816301,11.869562
7/20/2019 10:48:59.843940249,82.973114,28.035489,1006.973666,20.750145,25.658077,682.517011,79.371029,28.767607,1005.426049,17.028334,11.837772
7/20/2019 10:49:00.843940249,83.143959,27.924404,1006.209358,18.769924,25.583256,678.6868,79.174452,28.706913,1005.102441,7.09434,11.853857
7/20/2019 10:49:01.843940249,83.058537,28.123989,1004.750608,19.886407,25.654444,679.983907,79.119887,28.846156,1005.489446,12.887679,11.859495
7/20/2019 10:49:02.843940249,83.104533,27.960784,1004.645025,19.085118,25.522885,680.110727,79.053073,28.73244,1004.75802,5.752896,11.877434
7/20/2019 10:49:03.843940249,83.157101,28.117712,1006.906562,19.69296,25.664077,681.996587,79.31415,28.89814,1005.629801,17.325699,11.847392
7/20/2019 10:49:04.843940249,82.94026,27.998436,1005.961765,18.840997,25.529131,679.855772,79.057437,28.737213,1004.845703,5.985818,11.850335
7/20/2019 10:49:05.843940249,83.255665,28.114418,1007.020581,20.718949,25.780778,683.812802,79.3121,28.872402,1005.468312,11.561962,11.865265
7/20/2019 10:49:06.843940249,83.08482,28.045284,1005.292632,19.344104,25.550111,681.194275,79.1094,28.705876,1004.953255,14.169649,11.877881
7/20/2019 10:49:07.843940249,83.15053,28.251488,1007.303736,21.260988,25.732081,680.070636,79.106088,28.902395,1004.927234,10.396588,11.829387
7/20/2019 10:49:08.843940249,83.268807,28.008381,1004.443324,19.13556,25.548111,682.118807,79.03917,28.706501,1004.581076,10.805307,11.863609
7/20/2019 10:49:09.843940249,83.111104,28.138275,1005.395217,19.817175,25.643953,683.836453,78.988363,28.876043,1005.940476,18.908967,11.864989
7/20/2019 10:49:10.843940249,83.209668,27.973498,1005.328114,19.098044,25.538274,682.831097,78.741926,28.703082,1004.605519,5.641814,11.838245
7/20/2019 10:49:11.843940249,83.295091,28.067345,1005.052529,19.485106,25.582725,684.363444,78.921759,28.704934,1005.636896,15.086646,11.858431
7/20/2019 10:49:12.843940249,83.262236,28.251787,1006.757691,20.960803,25.76694,686.855141,79.094417,28.72755,1005.113952,12.388574,11.865067
7/20/2019 10:49:13.843940249,83.268807,28.055753,1005.133273,19.361708,25.582154,684.757701,79.019667,28.676095,1005.154957,14.514963,11.873557
7/20/2019 10:49:14.843940249,83.557928,28.131581,1006.781582,19.780972,25.615952,685.574465,79.137444,28.968074,1005.507423,13.195529,11.830872
7/20/2019 10:49:15.843940249,83.15053,28.02517,1006.737821,19.048732,25.565418,686.099488,79.113606,28.695293,1005.242325,14.518895,11.855408
7/20/2019 10:49:16.843940249,83.058537,28.12201,1007.144378,20.446755,25.833475,691.911497,79.332707,28.939023,1005.995828,12.564644,11.853213
7/20/2019 10:49:17.843940249,83.15053,28.055978,1005.761167,19.452164,25.57248,687.254661,78.999954,28.683779,1005.071218,14.126942,11.880391
7/20/2019 10:49:18.843940249,83.485648,28.303983,1007.054567,20.674994,25.705998,689.291654,79.12651,28.76657,1004.986687,18.911588,11.842109
7/20/2019 10:49:19.843940249,83.413368,28.019074,1005.040781,19.213298,25.544152,687.033219,78.951697,28.696954,1004.738622,7.316776,11.877828
7/20/2019 10:49:20.843940249,83.327945,28.201763,1006.443389,19.794549,25.622156,690.257582,79.1744,28.92263,1005.634059,15.835709,11.842266
7/20/2019 10:49:21.843940249,83.22281,27.997238,1005.542985,19.230502,25.542723,687.562179,78.938845,28.695717,1004.630126,7.819812,11.868209
7/20/2019 10:49:22.843940249,83.380513,28.026218,1006.214563,20.768982,25.795513,691.109837,79.150324,28.887239,1005.407122,8.143389,11.86169
7/20/2019 10:49:23.843940249,83.104533,28.034291,1006.115761,19.450146,25.55354,688.215989,78.689516,28.658664,1005.61829,17.431811,11.827771
7/20/2019 10:49:24.843940249,83.354229,28.278446,1005.114585,20.624023,25.686813,689.804184,78.926674,28.875206,1005.861468,9.732939,11.835301
7/20/2019 10:49:25.843940249,83.406797,28.007557,1005.436931,19.272494,25.503619,687.859845,78.794651,28.712099,1004.753919,6.036117,11.878498
7/20/2019 10:49:26.843940249,83.275378,28.000232,1003.896095,19.542275,25.643627,691.607916,79.073733,28.915158,1005.410752,8.038588,11.843712
7/20/2019 10:49:27.843940249,83.189956,28.04476,1005.031003,19.533129,25.532233,689.601803,78.879022,28.690107,1005.019175,13.184004,11.863596
7/20/2019 10:49:28.843940249,83.472506,28.188749,1005.23917,20.621284,25.735183,692.780824,79.167881,28.785038,1005.501114,17.638792,11.866355
7/20/2019 10:49:29.843940249,83.341087,28.05725,1004.522333,19.470697,25.498843,691.192629,78.931932,28.784731,1004.623339,13.817782,11.849718
7/20/2019 10:49:30.843940249,83.321374,28.058074,1004.765668,19.280518,25.552438,692.161841,79.047344,28.902501,1005.51326,12.305782,11.861164
7/20/2019 10:49:31.843940249,83.314803,28.097479,1005.834262,19.425782,25.595461,692.286692,78.848323,28.766052,1004.894274,13.693593,11.865961
7/20/2019 10:49:32.843940249,83.301662,28.158315,1005.090141,20.721199,25.784452,695.564282,79.06682,28.834736,1005.494805,16.73594,11.849021
7/20/2019 10:49:33.843940249,83.117675,28.107649,1004.884419,19.538256,25.643301,693.039725,79.037724,28.779334,1005.114902,10.693953,11.85985
7/20/2019 10:49:34.843940249,83.590783,28.209387,1005.238066,20.180857,25.663546,693.917599,79.153845,28.848643,1006.121993,20.091108,11.841885
7/20/2019 10:49:35.843940249,83.49879,28.072243,1006.479346,19.280735,25.563704,692.980584,79.030444,28.737107,1005.23996,14.5823,11.86332
